pos,correct_response,condition,counter_balancing.thisRepN,counter_balancing.thisTrialN,counter_balancing.thisN,counter_balancing.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instruction.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,final.started,key_resp_3.started,final.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.012274208012968302,6.4106950830318965,space,6.371022000035737,None,,,,,,,,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
150,v,random,0,0,0,0,0,0,0,3,,,,,6.455548957979772,,,,,,,6.426604125008453,0.5998687089886516,8.33571725001093,v,1,1.3188430000445805,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-50,x,random,0,0,0,0,0,1,1,1,,,,,8.344806042034179,,,,,,,8.336778666998725,0.607904625008814,9.762210167013109,x,1,0.8114265840267763,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-50,x,random,0,0,0,0,0,2,2,1,,,,,9.771447958017234,,,,,,,9.763795082981233,0.605213625007309,10.928642333019525,x,1,0.5560389999882318,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
50,c,random,0,0,0,0,0,3,3,2,,,,,10.940455292002298,,,,,,,10.929397125029936,0.6060497090220451,12.086025417025667,c,1,0.5477148749632761,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-150,z,random,0,0,0,0,1,0,4,0,,,,,12.094590082997456,,,,,,,12.086730166978668,0.6079971250146627,13.245341208006721,z,1,0.5468411670299247,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-150,z,random,0,0,0,0,1,1,5,0,,,,,13.253237750031985,,,,,,,13.246051500027534,0.6065237920265645,14.345417417003773,z,1,0.4895557080162689,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-150,z,random,0,0,0,0,1,2,6,0,,,,,14.353543042030651,,,,,,,14.346139750035945,0.606482875009533,15.311357708007563,z,1,0.3539728330215439,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
150,v,random,0,0,0,0,1,3,7,3,,,,,15.319082500005607,,,,,,,15.31205237499671,0.5994606669992208,16.96934433298884,v,1,1.0516268750070594,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
50,c,random,0,0,0,0,2,0,8,2,,,,,16.9780894999858,,,,,,,16.970051917014644,0.5992865419830196,18.20306500000879,c,1,0.6287020000163466,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
150,v,random,0,0,0,0,2,1,9,3,,,,,18.211674500023946,,,,,,,18.20378595800139,0.5990337500115857,19.47958045802079,v,1,0.6672891660127789,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-50,x,random,0,0,0,0,2,2,10,1,,,,,19.48607062501833,,,,,,,19.480306125013158,0.6057222919771448,21.019672833033837,x,1,0.9320559579646215,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
150,v,random,0,0,0,0,2,3,11,3,,,,,21.028331291978247,,,,,,,21.020384250034112,0.6079546670080163,22.39527070801705,v,1,0.7588445420260541,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
50,c,random,0,0,0,0,3,0,12,2,,,,,22.403242083033547,,,,,,,22.39596100000199,0.606644082989078,23.604636792035308,c,1,0.5934741250239313,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
50,c,random,0,0,0,0,3,1,13,2,,,,,23.61193120799726,,,,,,,23.605349541991018,0.6058039579656906,24.66275866702199,c,1,0.44209587504155934,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-150,z,random,0,0,0,0,3,2,14,0,,,,,24.669268292025663,,,,,,,24.663475874986034,0.6058598750387318,25.936211167019792,z,1,0.6604717909940518,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-150,z,random,0,0,0,0,3,3,15,0,,,,,25.94513162499061,,,,,,,25.93699345801724,0.6075667910045013,27.02881658298429,z,1,0.48106550000375137,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
150,v,random,0,0,0,0,4,0,16,3,,,,,27.036757667025086,,,,,,,27.02954045799561,0.5991519590024836,29.702533792005852,v,1,2.0699821669841185,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-50,x,random,0,0,0,0,4,1,17,1,,,,,29.711076791980304,,,,,,,29.70329216698883,0.5994862919906154,31.02034366701264,x,1,0.7134309170069173,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-150,z,random,0,0,0,0,4,2,18,0,,,,,31.028530291980132,,,,,,,31.02102254203055,0.6075149159878492,32.14572637499077,z,1,0.5081821249914356,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
-50,x,random,0,0,0,0,4,3,19,1,,,,,32.15233879198786,,,,,,,32.1464493329986,0.6062227500369772,33.32903158297995,x,1,0.5713281669886783,None,,,,,,,,kruti,001,2023-10-18_12h19.52.487,oct 9 class,2023.2.2,119.64250724903314,2023-10-18 12h20.00.654260 +0530,
